fl,fi,L,p_any,expected_n_civ
1e-06,1e-06,1000.0,1.5543122344752192e-15,1.6041104929011412e-15
1.4251026703029992e-06,1e-06,1000.0,2.3314683517128287e-15,2.2860221468944763e-15
2.030917620904735e-06,1e-06,1000.0,3.219646771412954e-15,3.257816265911107e-15
2.894266124716752e-06,1e-06,1000.0,4.6629367034256575e-15,4.642722659906465e-15
4.124626382901348e-06,1e-06,1000.0,6.661338147750939e-15,6.616356460108933e-15
5.878016072274912e-06,1e-06,1000.0,9.43689570931383e-15,9.428987258977739e-15
8.376776400682924e-06,1e-06,1000.0,1.3433698597964394e-14,1.3437274921022132e-14
1.1937766417144358e-05,1e-06,1000.0,1.9095836023552692e-14,1.914949637154413e-14
1.7012542798525893e-05,1e-06,1000.0,2.731148640577885e-14,2.7289998414045132e-14
2.424462017082331e-05,1e-06,1000.0,3.885780586188048e-14,3.889104961242033e-14
3.455107294592218e-05,1e-06,1000.0,5.540012892879531e-14,5.5423738653546516e-14
4.9238826317067415e-05,1e-06,1000.0,7.893685705084863e-14,7.898451795334471e-14
7.017038286703837e-05,1e-06,1000.0,1.1257661469699087e-13,1.1256104744790671e-13
0.0001,1e-06,1000.0,1.6042722705833512e-13,1.6041104929011414e-13
0.00014251026703029993,1e-06,1000.0,2.2859492077031973e-13,2.286022146894477e-13
0.00020309176209047368,1e-06,1000.0,3.2573943542502093e-13,3.2578162659111107e-13
0.0002894266124716752,1e-06,1000.0,4.642952688982405e-13,4.642722659906464e-13
0.0004124626382901352,1e-06,1000.0,6.615819003741308e-13,6.616356460108939e-13
0.0005878016072274912,1e-06,1000.0,9.429124148141454e-13,9.42898725897774e-13
0.0008376776400682924,1e-06,1000.0,1.343702926703827e-12,1.3437274921022133e-12
0.001193776641714437,1e-06,1000.0,1.91491267287347e-12,1.914949637154414e-12
0.0017012542798525892,1e-06,1000.0,2.7290392168310973e-12,2.7289998414045127e-12
0.002424462017082331,1e-06,1000.0,3.889111255261923e-12,3.8891049612420325e-12
