X_gc_pc,Y_gc_pc,Z_gc_pc,R_gc_pc
8298.429570,-893.015163,-4951.467013,8346.341079
9472.925979,-4847.634786,-104.215200,10641.235343
6223.444009,-72.677911,-4662.019757,6223.868364
8673.754947,3168.178090,-3875.219555,9234.250229
11487.634612,1527.776793,3421.860504,11588.781252
11758.074228,3239.294177,1267.662753,12196.119723
11372.148908,3156.857540,-2193.900980,11802.182862
4266.007073,2616.051102,1911.060442,5004.252163
7767.762198,3911.497122,3153.510133,8697.007491
8752.057873,2415.809914,-4371.239509,9079.353201
6031.012163,-3754.844793,2624.035680,7104.362542
4020.240586,2850.915512,-645.057883,4928.494053
11141.991619,783.304865,-3950.306565,11169.491651
7508.849666,4053.688973,2920.732020,8533.183321
9392.471519,-4414.295790,-2065.164191,10378.079233
8793.905026,-4919.866204,811.790816,10076.599083
8182.795922,239.398193,-5025.004359,8186.297123
7258.650588,4958.159299,-157.000232,8790.412504
7371.626825,4747.667240,1497.979894,8768.194014
7367.916650,-2697.761317,4182.701088,7846.280130
6771.023582,-2494.762541,-4155.578645,7215.996153
11113.682114,1010.293281,3920.444411,11159.508173
4999.682026,-1148.011421,-3779.654050,5129.790501
4129.356977,-2960.575272,-796.825245,5081.003344
9582.603861,-4686.341316,-1127.812835,10667.150120
5908.280509,-4394.624007,-1048.345569,7363.456983
11007.288962,3920.138790,-1282.346326,11684.515327
5439.620612,3924.530297,-1662.904401,6707.563675
5700.281624,-4116.530757,1583.467208,7031.289787
10959.714298,-343.517182,4147.154660,10965.096513
12075.803028,1318.208259,-2825.802640,12147.538507
11931.110587,2794.625372,1730.972244,12254.033247
5761.175114,-4279.773845,1211.865462,7176.879744
11541.251328,3680.073562,-282.734619,12113.770001
3975.035329,-251.795010,-2840.297865,3983.002208
10374.429963,-3635.133526,-2651.563306,10992.860993
3911.133572,1183.972508,2494.121883,4086.411228
6683.206842,-2715.902422,3986.095664,7213.971143
8174.492500,-1378.955365,-4841.337551,8289.984652
7617.666275,4324.183442,-2529.661930,8759.417899
10090.759075,-2670.827029,3786.913056,10438.234320
5750.552007,-1153.147560,4290.915301,5865.031772
11468.322942,829.397987,3671.502683,11498.275180
5888.084120,2831.182614,-3510.932830,6533.385768
5419.902098,-1871.978283,-3816.068974,5734.077209
11602.571200,3605.313709,-463.638616,12149.812566
5292.484545,4144.265487,-368.541513,6722.003354
