fl,fi,per_star_p,p_at_least_one
1.000000000000e+00,1.000000000000e+00,2.000000000000e-04,3.999600000000e-04
1.000000000000e+00,1.000000000000e-01,2.000000000000e-05,3.999960000001e-05
1.000000000000e+00,1.000000000000e-02,2.000000000000e-06,3.999995999870e-06
1.000000000000e+00,1.000000000000e-03,2.000000000000e-07,3.999999600435e-07
1.000000000000e+00,1.000000000000e-06,2.000000000000e-10,4.000000330961e-10
1.000000000000e-01,1.000000000000e+00,2.000000000000e-05,3.999960000001e-05
1.000000000000e-01,1.000000000000e-01,2.000000000000e-06,3.999995999870e-06
1.000000000000e-01,1.000000000000e-02,2.000000000000e-07,3.999999600435e-07
1.000000000000e-01,1.000000000000e-03,2.000000000000e-08,3.999999953486e-08
1.000000000000e-01,1.000000000000e-06,2.000000000000e-11,4.000000330961e-11
1.000000000000e-02,1.000000000000e+00,2.000000000000e-06,3.999995999870e-06
1.000000000000e-02,1.000000000000e-01,2.000000000000e-07,3.999999600435e-07
1.000000000000e-02,1.000000000000e-02,2.000000000000e-08,3.999999953486e-08
1.000000000000e-02,1.000000000000e-03,2.000000000000e-09,4.000000108917e-09
1.000000000000e-02,1.000000000000e-06,2.000000000000e-12,3.999911513120e-12
1.000000000000e-03,1.000000000000e+00,2.000000000000e-07,3.999999600435e-07
1.000000000000e-03,1.000000000000e-01,2.000000000000e-08,3.999999953486e-08
1.000000000000e-03,1.000000000000e-02,2.000000000000e-09,4.000000108917e-09
1.000000000000e-03,1.000000000000e-03,2.000000000000e-10,4.000000330961e-10
1.000000000000e-03,1.000000000000e-06,2.000000000000e-13,3.999023334700e-13
1.000000000000e-04,1.000000000000e+00,2.000000000000e-08,3.999999953486e-08
1.000000000000e-04,1.000000000000e-01,2.000000000000e-09,4.000000108917e-09
1.000000000000e-04,1.000000000000e-02,2.000000000000e-10,4.000000330961e-10
1.000000000000e-04,1.000000000000e-03,2.000000000000e-11,4.000000330961e-11
1.000000000000e-04,1.000000000000e-06,2.000000000000e-14,3.996802888651e-14
1.000000000000e-06,1.000000000000e+00,2.000000000000e-10,4.000000330961e-10
1.000000000000e-06,1.000000000000e-01,2.000000000000e-11,4.000000330961e-11
1.000000000000e-06,1.000000000000e-02,2.000000000000e-12,3.999911513120e-12
1.000000000000e-06,1.000000000000e-03,2.000000000000e-13,3.999023334700e-13
1.000000000000e-06,1.000000000000e-06,2.000000000000e-16,4.440892098501e-16
