X_gc_pc,Y_gc_pc,Z_gc_pc,R_gc_pc
9280.051880,-5222.616429,3223.572024,10648.712845
11077.888842,240.534867,5495.574508,11080.499908
4274.856317,2754.302150,4076.721090,5085.329572
11663.632891,4858.929187,1687.648180,12635.249308
8412.057973,451.037028,-6221.749471,8424.141128
3970.338828,-3124.567065,-3466.466113,5052.376644
10717.333277,5681.366651,14.598948,12130.093141
11654.411343,-646.468140,-5110.469774,11672.327309
3960.856170,-2836.509046,-3692.366343,4871.772282
5190.129543,3214.480849,-4479.723360,6104.943227
3230.394523,3228.121940,2158.293886,4566.861070
6886.007714,5873.440569,-1724.266967,9050.657786
5751.276103,3501.949316,-4594.604937,6733.559670
3973.457271,1597.536994,4387.004647,4282.579495
10275.437104,-3940.920052,-4341.441563,11005.246863
7592.379540,5798.040552,-2259.995916,9553.088576
8978.458066,-4316.800975,-4432.717425,9962.302941
12093.561191,1880.266371,4438.704336,12238.857133
4123.727209,1932.317795,4390.305258,4554.006824
5661.086849,1272.999728,5597.335218,5802.450570
5162.441015,4243.835504,3495.935822,6682.883884
7931.870725,2425.818347,5753.235639,8294.526379
8163.516574,-6241.126993,243.904879,10275.926673
3952.161837,-2638.730586,3828.266039,4752.102933
4083.645678,-3108.190116,3608.986268,5131.959453
7764.134408,-5747.806420,-2419.477060,9660.179178
5617.338886,2750.676972,-5016.821589,6254.655863
5522.215900,-1128.510098,-5565.854034,5636.346644
8079.552921,860.426165,-6185.367053,8125.238987
6026.592708,-3969.943346,4343.016174,7216.666117
8122.355234,4086.537257,4723.827947,9092.438688
11245.160294,-971.778212,-5319.435921,11287.071495
9478.396407,-4914.144271,-3606.485344,10676.554331
11880.652012,398.932397,4970.454704,11887.347866
11141.290079,5205.004794,-1668.906585,12297.171200
4085.247839,2067.611147,-4292.492815,4578.675110
11538.183462,1143.878608,-5101.242617,11594.746046
4245.561300,1082.676506,-4775.245624,4381.435742
5565.896639,-3984.946712,4072.729921,6845.363810
9819.058510,-3207.331770,5081.706941,10329.612147
4688.676929,4627.979070,2406.977287,6588.010445
11264.558467,5395.279243,153.895016,12489.968598
9925.521209,-3688.018003,-4706.562670,10588.552689
8414.265949,1121.476478,6137.173979,8488.673686
12088.051177,3671.243172,3128.948611,12633.250084
8710.433206,2610.291307,-5643.106292,9093.143975
7820.098002,5318.452846,3259.189942,9457.265643
11585.645320,6.750445,-5197.463450,11585.647287
7938.063800,-6178.836179,-896.275920,10059.367447
7354.955562,-2725.872645,-5565.364795,7843.835350
10280.544342,-2571.687336,5265.196192,10597.318893
4782.953660,-5139.433971,-1203.615956,7020.714155
2985.305916,-3546.011155,-216.498916,4635.325935
4335.847153,-2313.629995,-4394.430823,4914.514654
10651.708679,-1662.911247,-5462.207318,10780.731497
7961.274667,1709.803527,-6004.640282,8142.808018
6147.821525,2276.015017,5471.891519,6555.604767
11174.761806,1111.616739,-5335.119512,11229.915102
4484.120245,4980.684476,-987.241590,6701.832005
3865.354265,-3456.016359,-2991.673480,5185.075956
11190.607422,3070.674030,4491.514644,11604.254973
12044.174563,2762.305530,-4000.888606,12356.879571
10789.610793,-224.546786,-5642.959642,10791.947105
7838.710850,-5872.740042,-2108.990447,9794.613999
8323.971823,-6234.854825,324.093332,10400.092384
4921.917275,4432.925131,-3016.858266,6623.903297
9596.550024,-3990.556308,-4572.286616,10393.185845
4105.081446,-3309.716614,3452.544120,5273.131683
11015.285987,-1108.029455,5422.203158,11070.874159
4358.877090,-2674.581055,-4205.509609,5114.019291
5665.796431,428.807236,-5726.762915,5682.000074
3003.908746,-3375.708572,1187.839551,4518.725054
11118.448450,5475.955250,-231.901625,12393.788034
5853.236707,-4541.571794,-3639.050405,7408.525785
4712.802712,-1981.507393,-4844.305245,5112.424176
3096.739258,3576.380538,979.647200,4730.781308
8975.089206,-4918.540262,3752.354344,10234.464547
6053.914561,2310.257185,-5421.840816,6479.750750
10752.295251,-405.055683,5650.808435,10759.922085
8622.803709,3167.376282,5359.272643,9186.131738
